sentences	gold	predict	probability
('练了一个礼拜，她差点儿没累死。', '练了一个礼拜，她差点儿累死。')	1	1	[6.289496e-05, 0.99993706]
('里面弥漫的烟雾差点没把他给顶出来。', '里面弥漫的烟雾差点把他给顶出来。')	1	1	[5.1997024e-05, 0.999948]
('要知道，当时我和赫勒差一点儿没把里姆斯基吓死！', '要知道，当时我和赫勒差一点儿把里姆斯基吓死！')	1	1	[4.8394446e-05, 0.9999516]
('”罗萨丽半开玩笑地说，“这人死抓着钢缆不撒手，我好不容易才把他摘下来，差点儿没把他的手指头都掰折了。', '”罗萨丽半开玩笑地说，“这人死抓着钢缆不撒手，我好不容易才把他摘下来，差点儿把他的手指头都掰折了。')	1	1	[5.0355244e-05, 0.9999497]
('我差点没杀了他。', '我差点杀了他。')	1	1	[6.294866e-05, 0.99993706]
('本报记者陈梦婕孙丽丽通讯员张碧升陈华俐文图朱燕青给他的父亲朱目杰盛了一碗饭，差点儿没把朱目杰眼泪给呛出来。', '本报记者陈梦婕孙丽丽通讯员张碧升陈华俐文图朱燕青给他的父亲朱目杰盛了一碗饭，差点儿把朱目杰眼泪给呛出来。')	1	1	[4.4061773e-05, 0.9999559]
('”我一听，差点没吓死。', '”我一听，差点吓死。')	1	1	[5.6376783e-05, 0.9999436]
('刚要转身，突然一只大手紧紧地抓住了我的手，差点没让我失声叫出来…他的手滚烫滚烫的并且微微有些颤抖，我的心一下子提到嗓子眼里来，不知道是兴奋还是惊慌。', '刚要转身，突然一只大手紧紧地抓住了我的手，差点让我失声叫出来…他的手滚烫滚烫的并且微微有些颤抖，我的心一下子提到嗓子眼里来，不知道是兴奋还是惊慌。')	1	1	[5.0796258e-05, 0.9999492]
('您至今仍然和他搞得很亲热，差点没同他黏在一起了，而且在整个上流社会面前，把他当成是您最要好的朋友，尽管上流社会没有一个傻瓜猜不透您的用心所在，您的所谓友好的朋友关系，到底意味着什么。', '您至今仍然和他搞得很亲热，差点同他黏在一起了，而且在整个上流社会面前，把他当成是您最要好的朋友，尽管上流社会没有一个傻瓜猜不透您的用心所在，您的所谓友好的朋友关系，到底意味着什么。')	1	1	[8.186107e-05, 0.9999181]
('“鬼知道她们，门上的锁差点儿没弄断了，”科赫回答。', '“鬼知道她们，门上的锁差点儿弄断了，”科赫回答。')	1	1	[6.473786e-05, 0.99993527]
('他们只得呆在下面望着我干瞪眼，只有一个小坏蛋跟在我身后爬了一阵子，差点没把我的靴子弄去当战利品。', '他们只得呆在下面望着我干瞪眼，只有一个小坏蛋跟在我身后爬了一阵子，差点把我的靴子弄去当战利品。')	1	1	[7.241023e-05, 0.99992764]
('然而对方大虫一落斗格，我和老鲁就像遭了电击，差点没晕了过去，替代螭壳白的竟是我们的金青麻头！', '然而对方大虫一落斗格，我和老鲁就像遭了电击，差点晕了过去，替代螭壳白的竟是我们的金青麻头！')	1	1	[5.3518987e-05, 0.9999465]
('霍·阿·布恩蒂亚哈哈大笑，差点儿没有笑死，他得出结论说，迷信的印第安人捏造了无数的疾病，这就是其中的一种。', '霍·阿·布恩蒂亚哈哈大笑，差点儿笑死，他得出结论说，迷信的印第安人捏造了无数的疾病，这就是其中的一种。')	1	1	[5.495689e-05, 0.99994504]
('佩特留拉的大兵把我家抢得精光，差一点没把我打死。', '佩特留拉的大兵把我家抢得精光，差一点把我打死。')	1	1	[5.2547537e-05, 0.9999474]
('他一阵手忙脚乱的，差点没把手机给摔到地上，才接起了那个电话。', '他一阵手忙脚乱的，差点把手机给摔到地上，才接起了那个电话。')	1	1	[4.5174853e-05, 0.9999548]
('这一脚真厉害，古利萨雷差点没有憋死。', '这一脚真厉害，古利萨雷差点憋死。')	1	1	[5.7002257e-05, 0.999943]
('他躺在病床上，回想着自己这大半辈子的奇特经历，他觉得，一切都是命中注定……想当初，王铁成差点没把他家老爷子给活活气死。', '他躺在病床上，回想着自己这大半辈子的奇特经历，他觉得，一切都是命中注定……想当初，王铁成差点把他家老爷子给活活气死。')	1	1	[4.8181424e-05, 0.99995184]
('”他捏起喉咙装着刘大人腔调：“这位康仁龙虽然不是三考出身，没有功名，却是一肚才华，满腹锦绣……”刘大人气得差一点没有翻了白眼。', '”他捏起喉咙装着刘大人腔调：“这位康仁龙虽然不是三考出身，没有功名，却是一肚才华，满腹锦绣……”刘大人气得差一点翻了白眼。')	1	1	[5.095126e-05, 0.9999491]
('“文革”时，也因为这个碴儿倒了霉，差点没让造反派整趴下。', '“文革”时，也因为这个碴儿倒了霉，差点让造反派整趴下。')	1	1	[4.709921e-05, 0.9999529]
('……差点没要了殷长官和我的命，这真是狭路相逢，送到我手上来了，他是我不共戴天的仇人，去年我逮着他要执行，忽然被川岛芳子那个婊子劫走，说是由她的‘小白龙’特工把这个家伙枪毙了，哼，谁想他还活着！', '……差点要了殷长官和我的命，这真是狭路相逢，送到我手上来了，他是我不共戴天的仇人，去年我逮着他要执行，忽然被川岛芳子那个婊子劫走，说是由她的‘小白龙’特工把这个家伙枪毙了，哼，谁想他还活着！')	1	1	[0.00012545027, 0.9998746]
('我差点儿没被两个母兽生吃掉。', '我差点儿被两个母兽生吃掉。')	1	1	[5.245582e-05, 0.99994755]
('小燕子是很喜欢水的，有时误飞到这泥坑上来，用翅子点着水，看起来很危险，差一点没有被泥坑陷害了它，差一点没有被粘住，赶快地头也不回地飞跑了。', '小燕子是很喜欢水的，有时误飞到这泥坑上来，用翅子点着水，看起来很危险，差一点被泥坑陷害了它，差一点没有被粘住，赶快地头也不回地飞跑了。')	1	1	[0.00015052102, 0.99984944]
('“我早上在这条路摔了两次，差点没把骨头摔断。', '“我早上在这条路摔了两次，差点把骨头摔断。')	1	1	[4.5396006e-05, 0.9999546]
('您知道吗，一年半以前，他让我多么吃惊和震动，差点儿没把我折磨死，因为他突然想跟这个，她叫什么来着，——跟这个扎尔尼岑娜的女儿，也就是他女房东的女儿结婚？', '您知道吗，一年半以前，他让我多么吃惊和震动，差点儿把我折磨死，因为他突然想跟这个，她叫什么来着，——跟这个扎尔尼岑娜的女儿，也就是他女房东的女儿结婚？')	1	1	[4.7710397e-05, 0.9999523]
('他差点儿没死在勒阿弗尔，是我们去把他接回来的。', '他差点儿死在勒阿弗尔，是我们去把他接回来的。')	1	1	[7.150487e-05, 0.9999285]
('昨晚你发了那样大的火，差点没吃了我。', '昨晚你发了那样大的火，差点吃了我。')	1	1	[6.1814484e-05, 0.99993813]
