sentences	gold	predict	probability
('”就差没捧腹大笑起来。', '”就差捧腹大笑起来。')	1	1	[8.1229424e-05, 0.9999188]
('”大嫂长叹，“你就差没说‘十八年后又是一条好汉’，子君，你还有十八年吗？', '”大嫂长叹，“你就差说‘十八年后又是一条好汉’，子君，你还有十八年吗？')	1	1	[0.00068191806, 0.9993181]
('他继续像个扮演白痴的蹩足戏子连连发问，就差没流口涎了“你们谈什么书呢？', '他继续像个扮演白痴的蹩足戏子连连发问，就差流口涎了“你们谈什么书呢？')	1	1	[0.00010327068, 0.99989676]
('她的眼光看着丁鹏，就差没有直接叫出丁鹏的名字来，但是丁鹏却无视于她的暗示', '她的眼光看着丁鹏，就差有直接叫出丁鹏的名字来，但是丁鹏却无视于她的暗示')	1	1	[0.00017232358, 0.9998276]
('”张荫梧也到这镇上来了一次，田大瞎子像孝子见了灵牌一样，就差没跪在他的面前问他这回站住站不住。', '”张荫梧也到这镇上来了一次，田大瞎子像孝子见了灵牌一样，就差跪在他的面前问他这回站住站不住。')	1	1	[0.00014580404, 0.9998542]
('＂说完，她就往后躺了下去，僵直的像个尸体，就差没盖上一条白布了，＂好，来吧！', '＂说完，她就往后躺了下去，僵直的像个尸体，就差盖上一条白布了，＂好，来吧！')	1	1	[0.00014290118, 0.99985707]
('就差没命令我跟过去做丫鬟。', '就差命令我跟过去做丫鬟。')	1	0	[0.99752337, 0.0024765637]
('”她握拳道，就差没咬牙切齿。', '”她握拳道，就差咬牙切齿。')	1	1	[8.0861166e-05, 0.9999192]
('就差没吆喝“肃静”、“开道”了。', '就差吆喝“肃静”、“开道”了。')	1	1	[0.00016351302, 0.99983644]
('此举在凹凸老百姓的心目中引起极大震动，就差没有山呼万岁梁青天了。', '此举在凹凸老百姓的心目中引起极大震动，就差有山呼万岁梁青天了。')	1	1	[0.0002876195, 0.9997124]
('也许他就差没在巴黎的‘圣殿’街住了！', '也许他就差在巴黎的‘圣殿’街住了！')	1	0	[0.92133474, 0.078665294]
('他费了大约三分钟，拼命向我伸出舌头，就差没有绷断舌根。', '他费了大约三分钟，拼命向我伸出舌头，就差有绷断舌根。')	1	1	[8.25883e-05, 0.9999174]
('”她四处探望，就差没跳下马亲自去找。', '”她四处探望，就差跳下马亲自去找。')	1	1	[0.00013486334, 0.9998652]
('”“连妈妈都说：你实在太贤慧了，陈小山就差没把女人往家里带，你还那样贤慧。', '”“连妈妈都说：你实在太贤慧了，陈小山就差把女人往家里带，你还那样贤慧。')	1	1	[0.022044074, 0.97795594]
('我为那些花瓣鞠了一把泪，就差没学黛玉葬花了。', '我为那些花瓣鞠了一把泪，就差学黛玉葬花了。')	1	1	[0.00015456839, 0.9998454]
('罗伦斯洛“霍”一声笔挺站起，毕恭毕敬，犹如朝见皇上，就差没半跪在地。', '罗伦斯洛“霍”一声笔挺站起，毕恭毕敬，犹如朝见皇上，就差半跪在地。')	1	1	[8.4916974e-05, 0.9999151]
('她身上还有药水肥皂味道，清醒活泼，头发用一只夹子束起，嘴上有一点点口红，看上去心情比较好，选择巧克力的时候，大眼中有一种天真的渴望与贪婪，糖在嘴里融化的时候，她微眯眼睛享受，就差没唔的一声。', '她身上还有药水肥皂味道，清醒活泼，头发用一只夹子束起，嘴上有一点点口红，看上去心情比较好，选择巧克力的时候，大眼中有一种天真的渴望与贪婪，糖在嘴里融化的时候，她微眯眼睛享受，就差唔的一声。')	1	1	[0.00013144263, 0.9998685]
('是的，他当然看得出她对他的厌恶，也不知自己俊逸的脸是哪里得罪她的眼睛了，从第一次见面她就没给过他好脸色，抓、咬、骂这些理应在拨妇身上才看得见的不雅行为全被她上演了，就差没拿刀捅他而已。', '是的，他当然看得出她对他的厌恶，也不知自己俊逸的脸是哪里得罪她的眼睛了，从第一次见面她就没给过他好脸色，抓、咬、骂这些理应在拨妇身上才看得见的不雅行为全被她上演了，就差拿刀捅他而已。')	1	1	[0.00010023094, 0.99989974]
('张艺谋已经拍遍了农村、乡镇、民国、古代的女人戏，就差没拍当代都市女人了。', '张艺谋已经拍遍了农村、乡镇、民国、古代的女人戏，就差拍当代都市女人了。')	1	1	[0.037441634, 0.9625584]
('她没戴眼镜，但能很清楚的看见他带笑的脸庞，因为他靠她靠得……就差没肉体相触了。', '她没戴眼镜，但能很清楚的看见他带笑的脸庞，因为他靠她靠得……就差肉体相触了。')	1	1	[0.00046058508, 0.9995395]
('说到这里小Ｋ一幅得意洋洋的样子，就差没给西门医师送锦旗了。', '说到这里小Ｋ一幅得意洋洋的样子，就差给西门医师送锦旗了。')	1	1	[0.00038522648, 0.9996147]
('”晏四这才回到他原来的思路上来，忙问道：“你进的是哪家院子尤三贵用手一指道：“就是那一家，主人是个告老退仕的京官，原来还过得去，最近因为子孙不肖，已经败落了，就差没把祖宅卖掉！', '”晏四这才回到他原来的思路上来，忙问道：“你进的是哪家院子尤三贵用手一指道：“就是那一家，主人是个告老退仕的京官，原来还过得去，最近因为子孙不肖，已经败落了，就差把祖宅卖掉！')	1	1	[0.0003801856, 0.99961984]
('现在正积极为她物色对象，他将所有通过他心中初试的人选都邀来府中作客，让她和诸位候选人培养深厚的感情，就差没搭擂台比武招亲，或硬逼舞扬在绣楼抛绣球碰碰运气。', '现在正积极为她物色对象，他将所有通过他心中初试的人选都邀来府中作客，让她和诸位候选人培养深厚的感情，就差搭擂台比武招亲，或硬逼舞扬在绣楼抛绣球碰碰运气。')	1	1	[0.0021824401, 0.9978175]
('张荫梧也到这镇上来了一次，田大瞎子像孝子见了灵牌一样，就差没跪在他的面前问他这回站住站不住。', '张荫梧也到这镇上来了一次，田大瞎子像孝子见了灵牌一样，就差跪在他的面前问他这回站住站不住。')	1	1	[0.00014592978, 0.9998541]
('情急之下科学家们开始了对熊猫的性教育——在发情期播熊猫交配的叫声给它们听，放熊猫交配的录像给它们看，真是循循善诱兼心急如焚，就差没有冲上去身先士卒亲身示范了。', '情急之下科学家们开始了对熊猫的性教育——在发情期播熊猫交配的叫声给它们听，放熊猫交配的录像给它们看，真是循循善诱兼心急如焚，就差有冲上去身先士卒亲身示范了。')	1	1	[0.00016239707, 0.9998375]
('搭棚时帮着筹料，下种时请师傅指点，跑前跑后，就差没手把手教了。', '搭棚时帮着筹料，下种时请师傅指点，跑前跑后，就差手把手教了。')	1	0	[0.9213322, 0.07866781]
('昨天晚上眼泪汪汪的舍不得她，就差没叫她发誓终身守在她身边，今早又巴不得她立时三刻嫁出去。', '昨天晚上眼泪汪汪的舍不得她，就差叫她发誓终身守在她身边，今早又巴不得她立时三刻嫁出去。')	1	1	[0.00014461244, 0.9998554]
('”“你这家伙，明天就要成婚了，还是一大早就溜得无影无踪，急得留守大人发了人四处找你，就差没把太原翻转过来。', '”“你这家伙，明天就要成婚了，还是一大早就溜得无影无踪，急得留守大人发了人四处找你，就差把太原翻转过来。')	1	1	[0.1639404, 0.8360596]
('祖父与马几乎是形影不离，就差没和马一起站着睡眠了。', '祖父与马几乎是形影不离，就差和马一起站着睡眠了。')	1	1	[0.00017411164, 0.9998259]
('倒是很不错，就差没养个戏子，在家清唱。', '倒是很不错，就差养个戏子，在家清唱。')	1	1	[0.018395804, 0.9816042]
('她这个人口没遮拦，这屋里制片主任美工师场记员都在，就差没有当着导演的面说了。', '她这个人口没遮拦，这屋里制片主任美工师场记员都在，就差有当着导演的面说了。')	1	1	[0.0028022365, 0.99719775]
('全举着水枪、冲锋枪什么的，还高喊着鬼子进村了，就差没提个锣敲敲了。', '全举着水枪、冲锋枪什么的，还高喊着鬼子进村了，就差提个锣敲敲了。')	1	1	[0.0001773681, 0.9998227]
('"得悉事情始末之后，卡介伦也皱起了眉头，就差没有说出""不要去""三个字而已。"', '"得悉事情始末之后，卡介伦也皱起了眉头，就差有说出""不要去""三个字而已。"')	1	1	[0.000112256144, 0.9998877]
('她们玩得忘记了白天黑夜，忘记了上班下班，就差没忘记工作。', '她们玩得忘记了白天黑夜，忘记了上班下班，就差忘记工作。')	1	1	[0.007403413, 0.9925965]
('”“你不怕死吗?”我可是怕得要死，就差没有将小便撒在裤子里了。', '”“你不怕死吗?”我可是怕得要死，就差有将小便撒在裤子里了。')	1	1	[0.00018815929, 0.9998118]
('＂牟丽就差没叩头谢恩。', '＂牟丽就差叩头谢恩。')	1	1	[0.00012657943, 0.9998734]
('”他气得就差没口吐白沫。', '”他气得就差口吐白沫。')	1	1	[7.753885e-05, 0.9999225]
('”卡休理热切的问道，就差没有挤眼睛作鬼脸了。', '”卡休理热切的问道，就差有挤眼睛作鬼脸了。')	1	1	[9.302752e-05, 0.999907]
('一个成天只会要求奢侈享受玩女人的烂小子，却要他们活像老祖宗一样供奉伺候着，就差没去舔他的脚指头了。', '一个成天只会要求奢侈享受玩女人的烂小子，却要他们活像老祖宗一样供奉伺候着，就差去舔他的脚指头了。')	1	1	[0.000100889905, 0.99989915]
('虽说这已是家常便饭，不过可也难受得紧，就差没掉下眼泪。', '虽说这已是家常便饭，不过可也难受得紧，就差掉下眼泪。')	1	1	[7.096694e-05, 0.9999291]
('他将摩托准确地停到她的身边，就差没上人行道。', '他将摩托准确地停到她的身边，就差上人行道。')	1	1	[0.035068557, 0.9649314]
('”“少……爷”赵嬷嬷一把老骨头就差没让人给拆了，“出事了，采幽姑娘她……”“她怎么了？', '”“少……爷”赵嬷嬷一把老骨头就差让人给拆了，“出事了，采幽姑娘她……”“她怎么了？')	1	1	[0.00053118326, 0.99946886]
('听她的口气，就差没说出来“讨厌”了。', '听她的口气，就差说出来“讨厌”了。')	1	1	[0.00015589566, 0.9998441]
('在车上，老头还拉着我不松手，那架势真跟电影里的绑架差不多，就差没从怀里掏出支手枪来了。', '在车上，老头还拉着我不松手，那架势真跟电影里的绑架差不多，就差从怀里掏出支手枪来了。')	1	1	[0.00014627248, 0.99985373]
('这方面的规定实在太多了，从严禁用公款大吃大喝、严禁用公款进行高档娱乐活动，一直到严禁用公款上网，就差没有严禁用公款嫖娼、买凶、跑官的规定了。', '这方面的规定实在太多了，从严禁用公款大吃大喝、严禁用公款进行高档娱乐活动，一直到严禁用公款上网，就差有严禁用公款嫖娼、买凶、跑官的规定了。')	1	1	[0.00016711662, 0.99983287]
('腰也直了，眼睛也亮了，说话的声音也响了，与年青的时候相比，就差没有那一缕长发甩向脑后。', '腰也直了，眼睛也亮了，说话的声音也响了，与年青的时候相比，就差有那一缕长发甩向脑后。')	1	1	[0.00014764418, 0.9998523]
('赵三喃喃曰，“就差没在额上凿字曰：顺我者昌，逆我者亡。”', '赵三喃喃曰，“就差在额上凿字曰：顺我者昌，逆我者亡。”')	1	1	[0.00018006284, 0.99981993]
('”绿依不可思议地叫着，就差没多加一句：他是白痴啊！', '”绿依不可思议地叫着，就差多加一句：他是白痴啊！')	1	1	[0.00013690951, 0.999863]
('蓝先生和儿子吃亏大啦，先不说儿子这两年多中花去的几十万元，单看看儿子拿回的课本学的那些东西，他蓝先生就差没气歪鼻子。', '蓝先生和儿子吃亏大啦，先不说儿子这两年多中花去的几十万元，单看看儿子拿回的课本学的那些东西，他蓝先生就差气歪鼻子。')	1	1	[7.822792e-05, 0.9999218]
('”“爹，甭急，让女儿告诉你一间后宫大事……”大神官之女把自收买的后宫女侍口中探来的话儿，全一五一十地向父亲禀告，那形容得声色俱佳的模样就差没从新演练而已。', '”“爹，甭急，让女儿告诉你一间后宫大事……”大神官之女把自收买的后宫女侍口中探来的话儿，全一五一十地向父亲禀告，那形容得声色俱佳的模样就差从新演练而已。')	1	1	[0.000812935, 0.99918705]
('他好似看见雅正的身形在厨房边一闪，就差没出来招呼：“要不要添点茶？', '他好似看见雅正的身形在厨房边一闪，就差出来招呼：“要不要添点茶？')	1	1	[0.010040153, 0.98995984]
('蓓云倒是没有遗憾，当女儿要她的时候，几乎在她身上生活，无时无刻不抱在怀中，所有亲友见此情形均摇头叹息，就差没来一句慈母多败儿，但蓓云悠然，她已经在小云一岁之前连本带利抱了回来，赚得无数温馨，以后怎么样都无所谓。', '蓓云倒是没有遗憾，当女儿要她的时候，几乎在她身上生活，无时无刻不抱在怀中，所有亲友见此情形均摇头叹息，就差来一句慈母多败儿，但蓓云悠然，她已经在小云一岁之前连本带利抱了回来，赚得无数温馨，以后怎么样都无所谓。')	1	1	[0.0003603656, 0.99963963]
('其间回了很多读者的信，也喝了很多咖啡，就差没叼根烟在手上了。', '其间回了很多读者的信，也喝了很多咖啡，就差叼根烟在手上了。')	1	1	[0.00013330061, 0.9998667]
('他真像发了疯似的在家里大叫大喊，摔碗摔盆子，就差没把卉揍上一顿。', '他真像发了疯似的在家里大叫大喊，摔碗摔盆子，就差把卉揍上一顿。')	1	1	[7.6107055e-05, 0.99992394]
('倪文在第二点“看法”中竟然还引用了《著作权法实施条例》，把“王锡荣的做法”提到了不合“学术规则”甚至“法令规章”的高度，就差没有明写出“剽窃”两字了。', '倪文在第二点“看法”中竟然还引用了《著作权法实施条例》，把“王锡荣的做法”提到了不合“学术规则”甚至“法令规章”的高度，就差有明写出“剽窃”两字了。')	1	1	[0.00024477506, 0.9997552]
('整个晚上，虞家热闹得像是在过年，就差没有放爆竹了。', '整个晚上，虞家热闹得像是在过年，就差有放爆竹了。')	1	1	[0.00010246504, 0.9998975]
('就差没有勾指头了。', '就差有勾指头了。')	1	1	[0.00011765929, 0.99988234]
