sentences	gold	predict	probability
('封底底色和图案色与封面的底色与图案色正好相反，好似蓝色的剪纸图案贴在了乳白色的纸底上，好不漂亮。这本漫画册出版于１９８５年，作者布莱德教授及其夫人将１９８２年全年刊登在《人民日报》上的漫画精选出３００多幅编辑成册。', '封底底色和图案色与封面的底色与图案色正好相反，好似蓝色的剪纸图案贴在了乳白色的纸底上，好漂亮。这本漫画册出版于１９８５年，作者布莱德教授及其夫人将１９８２年全年刊登在《人民日报》上的漫画精选出３００多幅编辑成册。', '好不a')	1	1	[3.1546824e-05, 0.9999684]
('”月牙儿听了差点没笑死，明明是念秋姊太会跑了，现在所有的人全知道爷一天的时间里，总有半天在找她。', '”月牙儿听了差点笑死，明明是念秋姊太会跑了，现在所有的人全知道爷一天的时间里，总有半天在找她。', '差点没')	1	1	[2.4532832e-05, 0.99997544]
('那年春天我几乎没注意到城里哪处也同样开着花，等我留神自然景色时夏天已经到了。', '那年春天我几乎注意到城里哪处也同样开着花，等我留神自然景色时夏天已经到了。', '几乎没')	0	0	[0.999936, 6.402507e-05]
('“白老爷子，你说，这展靖白是不是有些过分，这有情无情也不说个清楚分明，浮在那故弄玄虚，吊人胃口，急得我差点没抡着一双小拳头，去找他理论，骂他个三天三夜！', '“白老爷子，你说，这展靖白是不是有些过分，这有情无情也不说个清楚分明，浮在那故弄玄虚，吊人胃口，急得我差点抡着一双小拳头，去找他理论，骂他个三天三夜！', '差点没')	1	1	[2.6956599e-05, 0.99997306]
('据了解，有的领导机关干部不下则已，一下便抽调大批人员，组成工作组、验收队、检查团，队伍庞大，浩浩荡荡，好不威风。像这样的工作组、验收队、检查团下到基层去，不说别的，光每天的吃和住，基层就够受了。', '据了解，有的领导机关干部不下则已，一下便抽调大批人员，组成工作组、验收队、检查团，队伍庞大，浩浩荡荡，好威风。像这样的工作组、验收队、检查团下到基层去，不说别的，光每天的吃和住，基层就够受了。', '好不a')	1	1	[2.6713586e-05, 0.9999733]
('一路跟着马车，一直跟到江南，难道是……不会吧，冷凝香是出了名的‘冰美人’，可是若说她不是为了这，那又为了什么了呢……”她这里自言自语，李存孝那里却脸上一阵红一阵白的，好生不安，好不自在。', '一路跟着马车，一直跟到江南，难道是……不会吧，冷凝香是出了名的‘冰美人’，可是若说她不是为了这，那又为了什么了呢……”她这里自言自语，李存孝那里却脸上一阵红一阵白的，好生不安，好自在。', '好不a')	0	0	[0.98994654, 0.010053421]
('”倏地踢了马泰一脚，见马泰痛得单脚跳地，又忙得想揉脚疼，弄得好不狼狈，他才咯咯笑起来，躲到卫紫衣怀里。', '”倏地踢了马泰一脚，见马泰痛得单脚跳地，又忙得想揉脚疼，弄得好狼狈，他才咯咯笑起来，躲到卫紫衣怀里。', '好不a')	1	1	[2.6013831e-05, 0.999974]
('她打小就聪明过了头，知晓四处攀关系，这个爷儿叫干爹，扯着那个爷儿就燃起三柱香结拜喊大哥，叔叔伯伯唤得可亲热，连丐帮帮主都成了她兄弟，一窝子乞丐全挺她，在扬州城好不威风。', '她打小就聪明过了头，知晓四处攀关系，这个爷儿叫干爹，扯着那个爷儿就燃起三柱香结拜喊大哥，叔叔伯伯唤得可亲热，连丐帮帮主都成了她兄弟，一窝子乞丐全挺她，在扬州城好威风。', '好不a')	1	1	[2.6283045e-05, 0.9999738]
('”胖子没张声，程强把小刀作伸前之势，差点儿没刺入胖子的颈项！', '”胖子没张声，程强把小刀作伸前之势，差点儿刺入胖子的颈项！', '差点没')	1	1	[2.5246309e-05, 0.9999747]
('此次南征，中路曹仁几乎没动静', '此次南征，中路曹仁几乎动静', '几乎没')	0	0	[0.99993634, 6.364509e-05]
